cell,replicate,policy,family,block_id,block_index,onset,disturbed,seed,obs_noise,motor_scale,command_speed,divergent,leakfree,onset_obs_maxdiff,n_eligible,u_post_rate,o_post_rate,effect,u_pre_rate,o_pre_rate,pre_effect,u_fell,o_fell,u_falltick_med,u_task,o_task,pre_fall_env_diff
stand_motor,process_01,stand,motor,0,0,117,True,1013751812,,0.5439673379973087,,False,True,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,1,1,183,True,1721981887,,0.47969345150088216,,True,False,2.889366626739502,15,0.13333333333333333,0.2,-0.06666666666666668,0.0625,0.0625,0.0,0.1875,0.25,-1.0,0.8125,0.75,0
stand_motor,process_01,stand,motor,2,2,135,True,917381480,,0.47226910015087686,,True,False,2.6932501792907715,16,0.0625,0.125,-0.0625,0.0,0.0,0.0,0.0625,0.125,-1.0,0.9375,0.875,0
stand_motor,process_01,stand,motor,3,3,124,True,147489383,,0.4598115666280047,,False,True,0.0,16,0.0625,0.3125,-0.25,0.0,0.0,0.0,0.0625,0.3125,-1.0,0.9375,0.6875,0
stand_motor,process_01,stand,motor,4,4,198,True,1050979031,,0.4805051048784576,,True,False,2.7629897594451904,16,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.25,-1.0,1.0,0.75,0
stand_motor,process_01,stand,motor,5,5,134,True,744827522,,0.33120036231196975,,True,False,2.665191411972046,16,0.1875,0.4375,-0.25,0.0,0.0,0.0,0.1875,0.4375,-1.0,0.8125,0.5625,0
stand_motor,process_01,stand,motor,6,6,135,True,349304086,,0.5316977264356737,,True,False,2.8997931480407715,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
stand_motor,process_01,stand,motor,7,7,116,True,631621618,,0.39190607310331466,,False,True,0.0,16,0.1875,0.3125,-0.125,0.0,0.0,0.0,0.1875,0.3125,-1.0,0.8125,0.6875,0
stand_motor,process_01,stand,motor,8,8,136,True,881267230,,0.3579867330029764,,True,False,2.8033804893493652,16,0.0625,0.3125,-0.25,0.0,0.0,0.0,0.0625,0.3125,-1.0,0.9375,0.6875,0
stand_motor,process_01,stand,motor,9,9,107,True,1716059530,,0.4015885041337921,,False,True,0.0,15,0.2,0.4666666666666667,-0.26666666666666666,0.0625,0.0625,0.0,0.25,0.5,-1.0,0.75,0.5,0
stand_motor,process_01,stand,motor,10,10,184,True,1182110240,,0.46631331215189575,,True,False,2.910737991333008,16,0.0625,0.375,-0.3125,0.0,0.0,0.0,0.0625,0.375,-1.0,0.9375,0.625,0
stand_motor,process_01,stand,motor,11,11,141,True,1363158574,,0.39135510952818514,,True,False,2.8183047771453857,16,0.0625,0.25,-0.1875,0.0,0.0,0.0,0.0625,0.25,-1.0,0.9375,0.75,0
stand_motor,process_01,stand,motor,12,12,180,True,198429213,,0.34991758458973127,,True,False,2.7219085693359375,16,0.25,0.5,-0.25,0.0,0.0,0.0,0.25,0.5,-1.0,0.75,0.5,0
stand_motor,process_01,stand,motor,13,13,143,True,2044830998,,0.419046964141315,,True,False,2.889296770095825,16,0.1875,0.3125,-0.125,0.0,0.0,0.0,0.1875,0.3125,-1.0,0.8125,0.6875,0
